79) High: 40.000; Low: 39.990; Close: 39.995 | 2023-05-25T18:52:00Z
80) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:53:00Z
81) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:54:00Z
82) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:55:00Z
83) High: 39.995; Low: 39.990; Close: 39.995 | 2023-05-25T18:56:00Z
84) High: 39.995; Low: 39.975; Close: 39.975 | 2023-05-25T18:57:00Z
85) High: 39.995; Low: 39.985; Close: 39.995 | 2023-05-25T18:58:00Z
86) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T18:59:00Z
87) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T19:00:00Z
88) High: 39.990; Low: 39.980; Close: 39.990 | 2023-05-25T19:01:00Z
89) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:02:00Z
90) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:03:00Z
91) High: 39.990; Low: 39.975; Close: 39.980 | 2023-05-25T19:04:00Z
92) High: 39.990; Low: 39.975; Close: 39.990 | 2023-05-25T19:05:00Z
93) High: 39.995; Low: 39.980; Close: 39.990 | 2023-05-25T19:06:00Z
94) High: 39.990; Low: 39.980; Close: 39.985 | 2023-05-25T19:07:00Z
95) High: 39.980; Low: 39.915; Close: 39.950 | 2023-05-25T19:08:00Z
96) High: 39.960; Low: 39.945; Close: 39.955 | 2023-05-25T19:09:00Z
97) High: 39.950; Low: 39.925; Close: 39.925 | 2023-05-25T19:10:00Z
98) High: 39.935; Low: 39.920; Close: 39.920 | 2023-05-25T19:11:00Z
99) High: 39.935; Low: 39.920; Close: 39.920 | 2023-05-25T19:12:00Z
100) High: 39.970; Low: 39.925; Close: 39.945 | 2023-05-25T19:13:00Z
101) High: 39.960; Low: 39.925; Close: 39.925 | 2023-05-25T19:14:00Z
102) High: 39.960; Low: 39.930; Close: 39.950 | 2023-05-25T19:15:00Z
103) High: 39.960; Low: 39.920; Close: 39.960 | 2023-05-25T19:16:00Z
104) High: 39.960; Low: 39.960; Close: 39.960 | 2023-05-25T19:17:00Z
105) High: 39.950; Low: 39.930; Close: 39.935 | 2023-05-25T19:18:00Z
106) High: 39.950; Low: 39.920; Close: 39.940 | 2023-05-25T19:19:00Z
107) High: 39.940; Low: 39.915; Close: 39.920 | 2023-05-25T19:20:00Z
108) High: 39.945; Low: 39.905; Close: 39.905 | 2023-05-25T19:21:00Z
109) High: 39.955; Low: 39.905; Close: 39.955 | 2023-05-25T19:22:00Z
110) High: 39.960; Low: 39.950; Close: 39.960 | 2023-05-25T19:23:00Z
111) High: 39.975; Low: 39.950; Close: 39.950 | 2023-05-25T19:24:00Z
112) High: 39.970; Low: 39.950; Close: 39.970 | 2023-05-25T19:25:00Z
113) High: 39.985; Low: 39.955; Close: 39.980 | 2023-05-25T19:26:00Z
114) High: 39.990; Low: 39.975; Close: 39.985 | 2023-05-25T19:27:00Z
115) High: 39.985; Low: 39.950; Close: 39.975 | 2023-05-25T19:28:00Z
116) High: 39.985; Low: 39.970; Close: 39.980 | 2023-05-25T19:29:00Z
117) High: 39.980; Low: 39.950; Close: 39.975 | 2023-05-25T19:30:00Z
118) High: 39.975; Low: 39.965; Close: 39.965 | 2023-05-25T19:31:00Z
119) High: 39.980; Low: 39.955; Close: 39.975 | 2023-05-25T19:32:00Z
120) High: 39.985; Low: 39.970; Close: 39.980 | 2023-05-25T19:33:00Z
121) High: 39.985; Low: 39.970; Close: 39.970 | 2023-05-25T19:34:00Z
122) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:35:00Z
123) High: 39.975; Low: 39.970; Close: 39.975 | 2023-05-25T19:36:00Z
124) High: 39.970; Low: 39.965; Close: 39.965 | 2023-05-25T19:37:00Z
125) High: 39.970; Low: 39.955; Close: 39.970 | 2023-05-25T19:38:00Z
126) High: 39.990; Low: 39.970; Close: 39.980 | 2023-05-25T19:39:00Z
127) High: 39.975; Low: 39.975; Close: 39.975 | 2023-05-25T19:40:00Z
128) High: 39.975; Low: 39.970; Close: 39.975 | 2023-05-25T19:41:00Z
129) High: 40.000; Low: 39.970; Close: 40.000 | 2023-05-25T19:42:00Z
130) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T19:43:00Z
131) High: 39.995; Low: 39.970; Close: 39.975 | 2023-05-25T19:44:00Z
132) High: 40.000; Low: 39.975; Close: 40.000 | 2023-05-25T19:45:00Z
133) High: 40.300; Low: 39.990; Close: 40.200 | 2023-05-25T19:46:00Z
134) High: 40.100; Low: 39.995; Close: 40.000 | 2023-05-25T19:47:00Z
135) High: 40.250; Low: 39.995; Close: 40.200 | 2023-05-25T19:48:00Z
136) High: 40.200; Low: 40.000; Close: 40.000 | 2023-05-25T19:49:00Z
137) High: 40.150; Low: 39.995; Close: 40.000 | 2023-05-25T19:50:00Z
138) High: 40.150; Low: 39.985; Close: 39.990 | 2023-05-25T19:51:00Z
139) High: 40.200; Low: 39.990; Close: 40.150 | 2023-05-25T19:52:00Z
140) High: 40.200; Low: 40.000; Close: 40.100 | 2023-05-25T19:53:00Z
141) High: 40.100; Low: 39.975; Close: 39.975 | 2023-05-25T19:54:00Z
