3512 - TIKER: MTKB | FIGI: TCS00A0JRAK8 | CLASSCODE: SPBRU
3526 - TIKER: PRMB | FIGI: BBG001P1VKH0 | CLASSCODE: TQBR
3539 - TIKER: RSTI | FIGI: BBG004S682J4 | CLASSCODE: TQBR
3570 - TIKER: MRKZ | FIGI: BBG000TJ6F42 | CLASSCODE: TQBR
3589 - TIKER: APTK | FIGI: BBG000K3STR7 | CLASSCODE: TQBR
3626 - TIKER: SNGS | FIGI: TCS008926258 | CLASSCODE: SPEQ
3645 - TIKER: MSST | FIGI: BBG001BBSZV8 | CLASSCODE: TQPI
3683 - TIKER: QIWI | FIGI: BBG005D1WCQ1 | CLASSCODE: TQBR
3693 - TIKER: IRAO | FIGI: BBG004S68473 | CLASSCODE: TQBR
3717 - TIKER: UPRO | FIGI: TCS00A0JNGA5 | CLASSCODE: SMAL
3724 - TIKER: ASSB | FIGI: BBG000FJ8645 | CLASSCODE: TQBR
3725 - TIKER: NVTK | FIGI: TCS00A0DKVS5 | CLASSCODE: SPEQ
3746 - TIKER: HYDR | FIGI: BBG00475K2X9 | CLASSCODE: TQBR
3765 - TIKER: STSB | FIGI: BBG000VDT0D0 | CLASSCODE: TQBR
3770 - TIKER: LVHK | FIGI: BBG003NZBX32 | CLASSCODE: TQBR
3797 - TIKER: TGKD | FIGI: BBG000F6H7K3 | CLASSCODE: TQBR
3886 - TIKER: DVEC | FIGI: TCS00A0JP2W1 | CLASSCODE: SMAL
3887 - TIKER: NSVZ | FIGI: BBG002BCQK67 | CLASSCODE: TQBR
3902 - TIKER: NKSH | FIGI: BBG002B9P9K4 | CLASSCODE: TQBR
3913 - TIKER: MGNZ | FIGI: BBG000FJXMJ6 | CLASSCODE: TQBR
3918 - TIKER: NLMK | FIGI: BBG004S681B4 | CLASSCODE: TQBR
3919 - TIKER: BELU | FIGI: BBG000TY1CD1 | CLASSCODE: TQBR
3923 - TIKER: GCHE | FIGI: BBG000RTHVK7 | CLASSCODE: TQBR
3953 - TIKER: TCSG | FIGI: BBG00QPYJ5H0 | CLASSCODE: TQBR
3976 - TIKER: TATN | FIGI: TCS009033591 | CLASSCODE: SPEQ
4025 - TIKER: VJGZ | FIGI: BBG002B9PYV7 | CLASSCODE: TQBR
4096 - TIKER: YNDX | FIGI: BBG006L8G4H1 | CLASSCODE: TQBR
4104 - TIKER: DZRD | FIGI: BBG001CPLYK8 | CLASSCODE: TQBR
4105 - TIKER: RUGR | FIGI: TCS00A0JPNP4 | CLASSCODE: TQBR
4106 - TIKER: AFLT | FIGI: TCS109062285 | CLASSCODE: SPEQ
4124 - TIKER: SFIN | FIGI: BBG003LYCMB1 | CLASSCODE: TQBR
4172 - TIKER: FESH | FIGI: BBG000QF1Q17 | CLASSCODE: TQBR
4201 - TIKER: RTGZ | FIGI: BBG003M5Q5B5 | CLASSCODE: TQBR
4246 - TIKER: RASP | FIGI: BBG004S68696 | CLASSCODE: TQBR
4257 - TIKER: VKCO | FIGI: TCS603172082 | CLASSCODE: SPEQ
4303 - TIKER: BRZL | FIGI: BBG002B24058 | CLASSCODE: TQBR
4311 - TIKER: NVTK | FIGI: BBG00475KKY8 | CLASSCODE: TQBR
4347 - TIKER: VTBR | FIGI: TCS10A0JP5V6 | CLASSCODE: SPEQ
4362 - TIKER: UNKL | FIGI: BBG002YFXL29 | CLASSCODE: TQBR
4368 - TIKER: WUSH | FIGI: TCSTCS105EX7 | CLASSCODE: PSSU
4378 - TIKER: NKNC | FIGI: BBG000GQSRR5 | CLASSCODE: TQBR
4411 - TIKER: AQUA | FIGI: BBG000W325F7 | CLASSCODE: TQBR
4446 - TIKER: VRSB | FIGI: BBG000BX7DH0 | CLASSCODE: TQBR
4449 - TIKER: HYDR | FIGI: TCS00A0JPKH7 | CLASSCODE: SMAL
4457 - TIKER: AFKS | FIGI: TCS10A0DQZE3 | CLASSCODE: SPEQ
4476 - TIKER: GLTR | FIGI: TCS7949E2046 | CLASSCODE: SMAL
4493 - TIKER: RDRB | FIGI: BBG0078NQQ09 | CLASSCODE: TQBR
4494 - TIKER: SGZH | FIGI: BBG0100R9963 | CLASSCODE: TQBR
4497 - TIKER: CHKZ | FIGI: BBG000VQM8Q7 | CLASSCODE: TQBR
4557 - TIKER: ALBK | FIGI: BBG002ZHC363 | CLASSCODE: TQBR
4595 - TIKER: MRSB | FIGI: BBG000MFYK81 | CLASSCODE: TQBR
4706 - TIKER: GMKN | FIGI: BBG004731489 | CLASSCODE: TQBR
4749 - TIKER: KUBE | FIGI: BBG000CV6PB3 | CLASSCODE: TQBR
4765 - TIKER: MOEX | FIGI: BBG004730JJ5 | CLASSCODE: TQBR
4772 - TIKER: NFAZ | FIGI: BBG00226CJM0 | CLASSCODE: TQBR
4814 - TIKER: KRKN | FIGI: BBG002B2J6C1 | CLASSCODE: TQBR
4820 - TIKER: TGKN | FIGI: TCS00A0H1ES3 | CLASSCODE: SMAL
4879 - TIKER: OKEY | FIGI: TCS708662019 | CLASSCODE: SMAL
4906 - TIKER: SLEN | FIGI: BBG00FX0RGJ4 | CLASSCODE: TQBR
4908 - TIKER: FEES | FIGI: TCS00A0JPNN9 | CLASSCODE: SMAL
4910 - TIKER: UPRO | FIGI: BBG004S686W0 | CLASSCODE: TQBR
4917 - TIKER: JNOS | FIGI: BBG000CVM618 | CLASSCODE: TQBR
4919 - TIKER: MRKS | FIGI: BBG000VJMH65 | CLASSCODE: TQBR
4934 - TIKER: URKA | FIGI: BBG00475JVM9 | CLASSCODE: TQBR
4983 - TIKER: ROLO | FIGI: BBG004Z2RGW8 | CLASSCODE: TQBR
5030 - TIKER: MSNG | FIGI: BBG004S687W8 | CLASSCODE: TQBR
5035 - TIKER: AFKS | FIGI: BBG004S68614 | CLASSCODE: TQBR
5061 - TIKER: ACKO | FIGI: BBG00HT224Q7 | CLASSCODE: TQBR
5070 - TIKER: SFTL | FIGI: BBG0136BTL03 | CLASSCODE: TQBR
5095 - TIKER: EELT | FIGI: TCS00A0JWW54 | CLASSCODE: PTEQ
5105 - TIKER: PLZL | FIGI: BBG000R607Y3 | CLASSCODE: TQBR
5130 - TIKER: MTSS | FIGI: TCS107775219 | CLASSCODE: SPEQ
5157 - TIKER: OZON | FIGI: BBG00Y91R9T3 | CLASSCODE: TQBR
5159 - TIKER: HALS | FIGI: BBG000GVC474 | CLASSCODE: TQBR
5164 - TIKER: LKOH | FIGI: BBG004731032 | CLASSCODE: TQBR
5178 - TIKER: MMBM | FIGI: BBG000FWR6R0 | CLASSCODE: TQBR
5185 - TIKER: CHMF | FIGI: TCS009046510 | CLASSCODE: SPEQ
5200 - TIKER: SNGS | FIGI: TCS108926258 | CLASSCODE: SMAL
5206 - TIKER: ENRU | FIGI: BBG000F6YP24 | CLASSCODE: TQBR
5224 - TIKER: OGKB | FIGI: BBG000RK52V1 | CLASSCODE: TQBR
5232 - TIKER: RTSB | FIGI: BBG000GQSRP7 | CLASSCODE: TQBR
5267 - TIKER: CHGZ | FIGI: BBG000NLLWQ5 | CLASSCODE: TQBR
5295 - TIKER: SIBG | FIGI: BBG009R1QJV4 | CLASSCODE: TQPI
5303 - TIKER: MGTS | FIGI: BBG000NT5184 | CLASSCODE: TQBR
5306 - TIKER: IRGZ | FIGI: BBG000NL6ZD9 | CLASSCODE: TQBR
5349 - TIKER: DSKY | FIGI: TCS00A0JSQ90 | CLASSCODE: SMAL
5351 - TIKER: DIXY | FIGI: BBG004S68D00 | CLASSCODE: TQBR
5372 - TIKER: DMOB | FIGI: BBG012X4LD16 | CLASSCODE: TQBR
5379 - TIKER: VEON | FIGI: BBG000QCW561 | CLASSCODE: SPBXM
5383 - TIKER: GLTR | FIGI: BBG000VFX6Y4 | CLASSCODE: TQBR
5400 - TIKER: UTAR | FIGI: BBG000BDMZ51 | CLASSCODE: TQBR
5420 - TIKER: MSNG | FIGI: TCS008958863 | CLASSCODE: SMAL
5450 - TIKER: ROSN | FIGI: TCS00A0J2Q06 | CLASSCODE: SPEQ
5530 - TIKER: AVAN | FIGI: BBG000BTX3H2 | CLASSCODE: TQBR
5539 - TIKER: OPIN | FIGI: TCS00A0DJ9B4 | CLASSCODE: TQBR
5558 - TIKER: URKZ | FIGI: BBG002Z691S1 | CLASSCODE: TQBR
5573 - TIKER: BSPB | FIGI: TCS009100945 | CLASSCODE: SMAL
5587 - TIKER: NMTP | FIGI: BBG004S68BR5 | CLASSCODE: TQBR
5624 - TIKER: TGKA | FIGI: BBG000QFH687 | CLASSCODE: TQBR
5645 - TIKER: FRHC | FIGI: BBG000N625H8 | CLASSCODE: SPBXM
5647 - TIKER: MSRS | FIGI: TCS00A0ET7Y7 | CLASSCODE: SMAL
5664 - TIKER: SNGS | FIGI: BBG0047315D0 | CLASSCODE: TQBR
5665 - TIKER: CBOM | FIGI: BBG009GSYN76 | CLASSCODE: TQBR
5672 - TIKER: TUZA | FIGI: BBG000R4K9Y2 | CLASSCODE: TQBR
5676 - TIKER: GMKN | FIGI: TCS007288411 | CLASSCODE: SPEQ
5694 - TIKER: PRTK | FIGI: BBG000TZGXK8 | CLASSCODE: TQBR
5719 - TIKER: AMEZ | FIGI: BBG000RJWGC4 | CLASSCODE: TQBR
5768 - TIKER: INGR | FIGI: BBG000RJXRQ4 | CLASSCODE: TQBR
5777 - TIKER: ABRD | FIGI: BBG002W2FT69 | CLASSCODE: TQBR
5791 - TIKER: PIKK | FIGI: BBG004S68BH6 | CLASSCODE: TQBR
5813 - TIKER: CLSB | FIGI: BBG000HD4S15 | CLASSCODE: TQBR
5826 - TIKER: ROSN | FIGI: BBG004731354 | CLASSCODE: TQBR
5869 - TIKER: GTRK | FIGI: RU000A0ZYD22 | CLASSCODE: PTEQ
5888 - TIKER: TRMK | FIGI: BBG004TC84Z8 | CLASSCODE: TQBR
5959 - TIKER: POSI | FIGI: TCS30A103X66 | CLASSCODE: SPEQ
5961 - TIKER: MRKU | FIGI: BBG000VKG4R5 | CLASSCODE: TQBR
6010 - TIKER: MRKY | FIGI: BBG000C7P5M7 | CLASSCODE: TQBR
6031 - TIKER: SPBE | FIGI: TCS20A0JQ9P9 | CLASSCODE: SPBE_NDS
6089 - TIKER: TRCN | FIGI: BBG0018X6YV1 | CLASSCODE: TQBR
6128 - TIKER: CHMF | FIGI: BBG00475K6C3 | CLASSCODE: TQBR
6148 - TIKER: ISKJ | FIGI: BBG000N16BP3 | CLASSCODE: TQBR
32 - TIKER: VLHZ | FIGI: BBG000PTLZD3 | CLASSCODE: TQBR
36 - TIKER: DSKY | FIGI: BBG000BN56Q9 | CLASSCODE: TQBR
39 - TIKER: ROSB | FIGI: BBG000PND2J2 | CLASSCODE: TQBR
49 - TIKER: SAGO | FIGI: BBG000NLDS29 | CLASSCODE: TQBR
74 - TIKER: KBSB | FIGI: BBG000BSCKB5 | CLASSCODE: TQBR
75 - TIKER: RZSB | FIGI: BBG000FJ81J0 | CLASSCODE: TQBR
78 - TIKER: ENPG | FIGI: BBG000RMWQD4 | CLASSCODE: TQBR
98 - TIKER: POLY | FIGI: BBG004PYF2N3 | CLASSCODE: TQBR
99 - TIKER: LNTA | FIGI: BBG000QQPXZ5 | CLASSCODE: TQBR
241 - TIKER: GTLC | FIGI: BBG0045X2HW8 | CLASSCODE: TQPI
253 - TIKER: PHOR | FIGI: TCS00A0JRKT8 | CLASSCODE: SPEQ
342 - TIKER: KTSB | FIGI: BBG000DBV7S0 | CLASSCODE: TQBR
351 - TIKER: IRKT | FIGI: BBG000FWGSZ5 | CLASSCODE: TQBR
361 - TIKER: MRKV | FIGI: BBG000PKWCQ7 | CLASSCODE: TQBR
431 - TIKER: VSMO | FIGI: BBG004S68CV8 | CLASSCODE: TQBR
462 - TIKER: UNAC | FIGI: BBG000Q7ZZY2 | CLASSCODE: TQBR
